3#app#app41#app4150/S  1.069 1.222  0.936 1.222  0.804 1.222  0.684 1.191  0.590 1.097  0.479 1.045  0.347 1.045  0.214 1.045  0.112 0.972  0.018 0.879  -0.110 0.868  -0.221 0.816  -0.315 0.722  -0.409 0.629  -0.503 0.535  -0.627 0.515  -0.742 0.473  -0.836 0.379  -0.951 0.338  -1.054 0.308  -1.054 0.175  -0.935 0.161  -0.803 0.161  -0.670 0.161  -0.538 0.161  -0.440 0.077  -0.346 -0.016  -0.213 -0.016  -0.080 -0.016  0.039 -0.048  0.133 -0.141  0.244 -0.193  0.377 -0.193  0.509 -0.193  0.538 -0.296  0.538 -0.429  0.538 -0.562  0.538 -0.694  0.538 -0.827  0.538 -0.959  0.528 -1.088  0.434 -1.181  0.340 -1.275  0.247 -1.369  0.140 -1.431  0.007 -1.431  -0.125 -1.431  -0.169 -1.342  -0.169 -1.210  -0.169 -1.077
3#app#app41#app4150/e  -0.422 0.005  -0.249 0.005  -0.077 0.005  0.007 -0.082  0.007 -0.254  0.010 -0.424  0.182 -0.424  0.354 -0.424  0.436 -0.334  0.436 -0.162  0.441 0.005  0.614 0.005  0.786 0.005  0.866 0.098  0.866 0.270  0.866 0.442  0.866 0.614  0.866 0.786  0.771 0.864  0.599 0.864  0.436 0.873  0.436 1.046  0.436 1.218  0.339 1.293  0.167 1.293  -0.001 1.284  -0.123 1.162  -0.245 1.040  -0.366 0.919  -0.488 0.797  -0.610 0.675  -0.732 0.554  -0.851 0.431  -0.851 0.259  -0.851 0.087  -0.851 -0.086  -0.851 -0.258  -0.846 -0.428  -0.724 -0.550  -0.603 -0.671  -0.481 -0.793  -0.422 -0.941  -0.422 -1.113  -0.418 -1.282  -0.246 -1.282  -0.074 -1.282  0.071 -1.346  0.193 -1.467  0.315 -1.589  0.436 -1.711
3#app#app41#app4150/e  -0.375 0.182  -0.230 0.182  -0.085 0.182  0.060 0.182  0.205 0.182  0.350 0.182  0.495 0.182  0.640 0.182  0.785 0.182  0.902 0.209  0.902 0.354  0.902 0.499  0.902 0.644  0.902 0.789  0.822 0.901  0.720 1.003  0.617 1.105  0.486 1.140  0.342 1.140  0.197 1.140  0.052 1.140  -0.082 1.113  -0.185 1.010  -0.287 0.908  -0.390 0.806  -0.492 0.703  -0.594 0.601  -0.694 0.497  -0.694 0.352  -0.694 0.207  -0.694 0.062  -0.694 -0.083  -0.694 -0.228  -0.694 -0.373  -0.694 -0.518  -0.694 -0.663  -0.662 -0.776  -0.517 -0.776  -0.375 -0.778  -0.375 -0.923  -0.375 -1.068  -0.257 -1.095  -0.112 -1.095  -0.055 -1.183  -0.055 -1.328  0.003 -1.414  0.148 -1.414  0.293 -1.414  0.438 -1.414  0.583 -1.414
3#app#app41#app4150/?  -0.687 0.829  -0.590 0.829  -0.494 0.829  -0.421 0.888  -0.353 0.956  -0.284 1.024  -0.193 1.037  -0.096 1.037  -0.065 1.102  -0.065 1.198  -0.014 1.244  0.083 1.244  0.143 1.208  0.143 1.111  0.143 1.014  0.143 0.918  0.143 0.821  0.143 0.724  0.143 0.628  0.052 0.622  -0.045 0.622  -0.065 0.545  -0.065 0.449  -0.065 0.352  -0.065 0.255  -0.065 0.159  -0.065 0.062  -0.065 -0.035  -0.065 -0.131  -0.065 -0.228  -0.065 -0.324  -0.065 -0.421  -0.065 -0.518  -0.065 -0.614  0.024 -0.623  0.120 -0.623  0.143 -0.697  0.143 -0.794  0.143 -0.890  0.143 -0.987  0.143 -1.083  0.143 -1.180  0.143 -1.277  0.143 -1.373  0.155 -1.465  0.224 -1.533  0.292 -1.602  0.350 -1.674  0.350 -1.771  0.350 -1.867
3#app#app41#app4150/\"  -1.632 0.084  -1.517 0.084  -1.402 0.084  -1.287 0.084  -1.172 0.084  -1.057 0.084  -0.993 0.032  -0.993 -0.083  -0.993 -0.198  -0.993 -0.313  -0.993 -0.428  -0.993 -0.543  -0.920 -0.482  -0.839 -0.400  -0.757 -0.319  -0.676 -0.237  -0.594 -0.156  -0.513 -0.075  -0.432 0.007  -0.350 0.088  -0.269 0.170  -0.187 0.251  -0.106 0.333  -0.025 0.414  0.057 0.495  0.138 0.577  0.220 0.658  0.308 0.723  0.423 0.723  0.538 0.723  0.653 0.723  0.768 0.723  0.883 0.723  0.924 0.648  0.924 0.533  0.924 0.418  0.924 0.303  0.924 0.188  0.924 0.073  0.924 -0.042  0.924 -0.158  0.924 -0.273  0.924 -0.388  0.924 -0.503  0.924 -0.618  0.924 -0.733  0.924 -0.848  0.924 -0.963  0.924 -1.079  0.924 -1.194
3#app#app41#app4150/s  0.420 0.798  0.561 0.798  0.701 0.798  0.660 0.798  0.519 0.798  0.378 0.798  0.238 0.798  0.097 0.798  -0.043 0.798  -0.184 0.798  -0.325 0.798  -0.465 0.798  -0.596 0.774  -0.696 0.675  -0.795 0.575  -0.894 0.476  -1.031 0.467  -1.172 0.467  -1.234 0.389  -1.234 0.248  -1.205 0.136  -1.065 0.136  -0.924 0.136  -0.784 0.136  -0.643 0.136  -0.502 0.136  -0.362 0.136  -0.221 0.136  -0.080 0.136  0.060 0.136  0.201 0.136  0.341 0.136  0.464 0.092  0.563 -0.007  0.663 -0.107  0.751 -0.211  0.751 -0.351  0.751 -0.492  0.751 -0.633  0.751 -0.773  0.751 -0.914  0.751 -1.055  0.743 -1.187  0.602 -1.187  0.461 -1.187  0.420 -1.286  0.420 -1.427  0.370 -1.518  0.230 -1.518  0.089 -1.518
3#app#app41#app4150/c  0.606 1.496  0.606 1.395  0.606 1.293  0.606 1.192  0.606 1.091  0.519 1.076  0.418 1.076  0.317 1.076  0.216 1.076  0.187 1.004  0.187 0.903  0.187 0.801  0.187 0.700  0.129 0.657  0.027 0.657  -0.074 0.657  -0.175 0.657  -0.264 0.626  -0.335 0.554  -0.407 0.483  -0.478 0.411  -0.550 0.340  -0.622 0.268  -0.652 0.179  -0.652 0.078  -0.652 -0.023  -0.652 -0.124  -0.652 -0.226  -0.652 -0.327  -0.652 -0.428  -0.652 -0.530  -0.632 -0.622  -0.560 -0.694  -0.489 -0.766  -0.417 -0.837  -0.345 -0.909  -0.274 -0.980  -0.190 -1.021  -0.088 -1.021  0.013 -1.021  0.114 -1.021  0.216 -1.021  0.317 -1.021  0.418 -1.021  0.519 -1.021  0.621 -1.021  0.722 -1.021  0.823 -1.021  0.925 -1.021  1.026 -1.021
3#app#app41#app4150/r  -0.557 -0.334  -0.557 -0.440  -0.557 -0.547  -0.557 -0.653  -0.557 -0.760  -0.557 -0.866  -0.557 -0.972  -0.557 -1.079  -0.557 -1.185  -0.557 -1.292  -0.557 -1.300  -0.557 -1.193  -0.557 -1.087  -0.557 -0.980  -0.557 -0.874  -0.557 -0.767  -0.546 -0.672  -0.440 -0.672  -0.333 -0.672  -0.227 -0.672  -0.219 -0.574  -0.219 -0.467  -0.219 -0.361  -0.163 -0.277  -0.088 -0.202  -0.012 -0.127  0.063 -0.052  0.119 0.031  0.119 0.138  0.119 0.244  0.119 0.351  0.119 0.457  0.119 0.564  0.119 0.670  0.215 0.681  0.321 0.681  0.427 0.681  0.458 0.758  0.458 0.864  0.458 0.970  0.515 1.020  0.621 1.020  0.728 1.020  0.796 1.058  0.796 1.164  0.796 1.271  0.815 1.358  0.922 1.358  1.028 1.358  1.134 1.358
3#app#app41#app4150/e  -0.956 -0.286  -0.783 -0.286  -0.611 -0.286  -0.438 -0.286  -0.266 -0.286  -0.093 -0.286  0.039 -0.246  0.039 -0.073  0.039 0.099  0.100 0.211  0.272 0.211  0.445 0.211  0.617 0.211  0.790 0.211  0.962 0.211  1.033 0.313  1.033 0.485  1.033 0.658  0.911 0.708  0.739 0.708  0.566 0.708  0.536 0.850  0.536 1.023  0.536 1.195  0.374 1.205  0.201 1.205  0.039 1.195  0.039 1.023  0.039 0.850  0.008 0.708  -0.164 0.708  -0.337 0.708  -0.458 0.658  -0.458 0.485  -0.458 0.313  -0.458 0.140  -0.458 -0.032  -0.458 -0.205  -0.458 -0.377  -0.458 -0.550  -0.458 -0.722  -0.458 -0.895  -0.458 -1.067  -0.458 -1.240  -0.458 -1.412  -0.458 -1.585  -0.458 -1.757  -0.306 -1.778  -0.134 -1.778  0.039 -1.778
3#app#app41#app4150/e  -0.439 -0.232  -0.295 -0.232  -0.152 -0.232  -0.009 -0.232  0.134 -0.232  0.277 -0.232  0.421 -0.232  0.564 -0.232  0.679 -0.204  0.679 -0.061  0.679 0.082  0.764 0.141  0.907 0.141  1.050 0.141  1.052 0.282  1.052 0.425  1.052 0.569  1.052 0.712  1.052 0.855  0.940 0.886  0.797 0.886  0.654 0.886  0.510 0.886  0.367 0.886  0.224 0.886  0.081 0.886  -0.062 0.886  -0.206 0.886  -0.349 0.886  -0.439 0.833  -0.439 0.690  -0.439 0.546  -0.439 0.403  -0.439 0.260  -0.456 0.124  -0.557 0.022  -0.658 -0.079  -0.759 -0.180  -0.811 -0.302  -0.811 -0.445  -0.811 -0.588  -0.811 -0.731  -0.811 -0.875  -0.811 -1.018  -0.811 -1.161  -0.811 -1.304  -0.742 -1.419  -0.641 -1.520  -0.540 -1.621  -0.439 -1.723
3#app#app41#app4150/c  1.064 1.106  0.960 1.106  0.857 1.106  0.754 1.106  0.650 1.106  0.547 1.106  0.444 1.106  0.340 1.106  0.240 1.098  0.167 1.025  0.094 0.952  0.021 0.879  -0.052 0.806  -0.126 0.733  -0.215 0.698  -0.318 0.698  -0.421 0.698  -0.525 0.698  -0.568 0.639  -0.568 0.535  -0.568 0.432  -0.568 0.328  -0.568 0.225  -0.568 0.122  -0.568 0.018  -0.568 -0.085  -0.568 -0.189  -0.568 -0.292  -0.568 -0.395  -0.568 -0.499  -0.568 -0.602  -0.568 -0.705  -0.568 -0.809  -0.568 -0.912  -0.487 -0.934  -0.384 -0.934  -0.280 -0.934  -0.177 -0.934  -0.073 -0.934  0.030 -0.934  0.133 -0.934  0.237 -0.934  0.340 -0.934  0.444 -0.934  0.547 -0.934  0.650 -0.934  0.754 -0.934  0.857 -0.934  0.960 -0.934  1.064 -0.934
