3#apa#apa13#app1334/<  1.113 1.052  1.221 1.052  1.194 1.052  1.085 1.052  0.977 1.052  0.896 0.984  0.819 0.907  0.713 0.903  0.604 0.903  0.495 0.903  0.387 0.903  0.305 0.839  0.228 0.762  0.123 0.754  0.031 0.714  -0.046 0.637  -0.078 0.542  -0.101 0.456  -0.209 0.456  -0.291 0.392  -0.368 0.315  -0.473 0.308  -0.525 0.250  -0.541 0.159  -0.650 0.159  -0.673 0.074  -0.718 0.010  -0.822 0.005  -0.822 -0.103  -0.822 -0.212  -0.822 -0.320  -0.822 -0.429  -0.722 -0.437  -0.673 -0.497  -0.659 -0.600  -0.583 -0.676  -0.498 -0.734  -0.389 -0.734  -0.309 -0.801  -0.232 -0.878  -0.126 -0.883  -0.035 -0.926  0.042 -1.003  0.119 -1.080  0.195 -1.157  0.294 -1.181  0.402 -1.181  0.511 -1.181  0.590 -1.253  0.666 -1.330
1d#tos#t1#t1020062/<  0.917 1.385  0.867 1.317  0.822 1.231  0.724 1.165  0.621 1.113  0.506 1.107  0.453 1.002  0.350 0.977  0.237 0.972  0.237 0.853  0.199 0.773  0.081 0.773  -0.017 0.723  -0.101 0.639  -0.185 0.556  -0.268 0.472  -0.352 0.388  -0.436 0.304  -0.512 0.258  -0.575 0.165  -0.691 0.160  -0.784 0.135  -0.792 0.022  -0.904 -0.016  -1.009 -0.065  -1.108 -0.112  -1.056 -0.146  -0.997 -0.240  -0.882 -0.248  -0.778 -0.297  -0.680 -0.363  -0.569 -0.390  -0.463 -0.442  -0.363 -0.478  -0.310 -0.584  -0.198 -0.616  -0.083 -0.645  0.034 -0.656  0.149 -0.673  0.262 -0.710  0.376 -0.742  0.491 -0.771  0.577 -0.822  0.643 -0.905  0.742 -0.970  0.849 -1.000  0.849 -1.118  0.953 -1.133  1.053 -1.151  1.122 -1.201
3#app#app18#app1860/<  0.451 0.762  0.580 0.762  0.710 0.762  0.741 0.860  0.741 0.989  0.675 1.052  0.546 1.052  0.416 1.052  0.287 1.052  0.158 1.051  0.066 0.959  -0.025 0.867  -0.117 0.776  -0.208 0.684  -0.300 0.593  -0.391 0.501  -0.509 0.471  -0.638 0.471  -0.712 0.416  -0.712 0.286  -0.736 0.180  -0.865 0.180  -0.995 0.180  -1.003 0.059  -1.003 -0.071  -1.003 -0.200  -1.003 -0.330  -0.945 -0.401  -0.816 -0.401  -0.712 -0.428  -0.712 -0.557  -0.712 -0.687  -0.588 -0.692  -0.459 -0.692  -0.329 -0.692  -0.200 -0.692  -0.070 -0.692  0.059 -0.692  0.189 -0.692  0.319 -0.692  0.448 -0.692  0.578 -0.692  0.707 -0.692  0.837 -0.692  0.966 -0.692  1.096 -0.692  1.225 -0.692  1.323 -0.724  1.323 -0.853  1.323 -0.983
3#app#app18#app1860/<  0.586 1.190  0.473 1.190  0.360 1.190  0.247 1.190  0.133 1.190  0.088 1.123  0.088 1.010  0.043 0.941  -0.070 0.941  -0.162 0.919  -0.162 0.806  -0.162 0.693  -0.273 0.692  -0.386 0.692  -0.473 0.629  -0.553 0.549  -0.633 0.469  -0.713 0.389  -0.793 0.309  -0.873 0.229  -0.909 0.131  -0.909 0.018  -0.909 -0.095  -0.909 -0.208  -0.892 -0.305  -0.779 -0.305  -0.666 -0.305  -0.660 -0.411  -0.660 -0.524  -0.576 -0.554  -0.463 -0.554  -0.350 -0.554  -0.237 -0.554  -0.124 -0.554  -0.011 -0.554  0.102 -0.554  0.215 -0.554  0.328 -0.554  0.411 -0.628  0.491 -0.708  0.571 -0.788  0.678 -0.803  0.791 -0.803  0.904 -0.803  1.017 -0.803  1.130 -0.803  1.243 -0.803  1.356 -0.803  1.469 -0.803  1.582 -0.803
1d#tos#t1#t1007061/<  0.246 1.314  0.246 1.417  0.235 1.379  0.181 1.330  0.165 1.234  0.093 1.161  0.020 1.089  -0.052 1.016  -0.138 0.961  -0.225 0.909  -0.304 0.846  -0.396 0.800  -0.432 0.722  -0.529 0.690  -0.594 0.635  -0.662 0.597  -0.708 0.506  -0.788 0.471  -0.747 0.410  -0.644 0.410  -0.594 0.357  -0.569 0.280  -0.530 0.217  -0.465 0.141  -0.465 0.038  -0.445 -0.050  -0.347 -0.082  -0.249 -0.107  -0.164 -0.150  -0.142 -0.244  -0.099 -0.315  -0.002 -0.348  0.052 -0.412  0.052 -0.514  0.106 -0.578  0.204 -0.610  0.246 -0.682  0.246 -0.785  0.308 -0.849  0.394 -0.902  0.467 -0.975  0.549 -1.034  0.634 -1.085  0.679 -1.141  0.763 -1.161  0.763 -1.263  0.841 -1.298  0.887 -1.390  0.957 -1.426  0.957 -1.529
2#tos#f2#f2024065/<  0.755 1.351  0.671 1.351  0.588 1.351  0.505 1.351  0.422 1.351  0.347 1.330  0.302 1.263  0.276 1.184  0.243 1.108  0.197 1.039  0.151 0.970  0.113 0.896  0.061 0.834  -0.008 0.788  -0.075 0.740  -0.122 0.671  -0.168 0.602  -0.201 0.526  -0.227 0.447  -0.259 0.371  -0.299 0.298  -0.358 0.239  -0.416 0.180  -0.458 0.115  -0.510 0.083  -0.489 0.028  -0.458 -0.025  -0.433 -0.104  -0.407 -0.183  -0.403 -0.265  -0.371 -0.335  -0.312 -0.394  -0.268 -0.463  -0.231 -0.538  -0.194 -0.612  -0.164 -0.690  -0.138 -0.769  -0.105 -0.845  -0.068 -0.919  -0.030 -0.994  0.031 -1.044  0.101 -1.086  0.147 -1.156  0.193 -1.225  0.232 -1.298  0.269 -1.373  0.306 -1.447  0.361 -1.509  0.420 -1.568  0.479 -1.626
3#app#app08#app0849/<  0.273 1.426  0.393 1.426  0.363 1.364  0.278 1.279  0.193 1.195  0.108 1.110  0.024 1.025  -0.030 0.927  -0.030 0.807  -0.030 0.687  -0.130 0.668  -0.230 0.619  -0.315 0.535  -0.400 0.450  -0.485 0.365  -0.485 0.245  -0.572 0.213  -0.676 0.174  -0.761 0.089  -0.789 -0.020  -0.837 -0.091  -0.940 -0.108  -0.940 -0.228  -1.045 -0.242  -1.092 -0.316  -1.050 -0.394  -0.931 -0.394  -0.811 -0.394  -0.691 -0.394  -0.571 -0.394  -0.451 -0.394  -0.331 -0.394  -0.211 -0.394  -0.091 -0.394  0.011 -0.436  0.096 -0.520  0.206 -0.546  0.326 -0.546  0.445 -0.546  0.565 -0.546  0.685 -0.546  0.805 -0.546  0.912 -0.578  0.997 -0.662  1.102 -0.698  1.222 -0.698  1.340 -0.702  1.425 -0.787  1.519 -0.849  1.639 -0.849
1d#tos#f1#f1012064/<  0.856 1.401  0.793 1.364  0.765 1.279  0.696 1.249  0.608 1.234  0.523 1.205  0.454 1.151  0.390 1.087  0.326 1.024  0.262 0.960  0.186 0.914  0.114 0.862  0.050 0.798  -0.014 0.735  -0.077 0.671  -0.151 0.622  -0.235 0.589  -0.318 0.556  -0.382 0.500  -0.427 0.423  -0.490 0.359  -0.561 0.304  -0.636 0.254  -0.668 0.181  -0.668 0.091  -0.632 0.009  -0.592 -0.071  -0.537 -0.137  -0.464 -0.183  -0.464 -0.273  -0.425 -0.353  -0.368 -0.422  -0.305 -0.486  -0.261 -0.558  -0.245 -0.636  -0.159 -0.665  -0.109 -0.718  -0.109 -0.808  -0.070 -0.885  -0.016 -0.957  0.038 -1.029  0.102 -1.092  0.183 -1.132  0.263 -1.172  0.321 -1.236  0.377 -1.291  0.447 -1.339  0.527 -1.380  0.551 -1.455  0.551 -1.545
2#apa#apa03#app0399/<  1.007 1.079  1.127 1.079  1.082 1.079  0.962 1.079  0.842 1.079  0.722 1.079  0.692 0.990  0.640 0.922  0.524 0.911  0.439 0.826  0.345 0.764  0.225 0.764  0.104 0.764  0.007 0.710  -0.078 0.625  -0.191 0.606  -0.294 0.567  -0.379 0.482  -0.486 0.448  -0.595 0.423  -0.680 0.338  -0.765 0.253  -0.850 0.168  -0.956 0.133  -1.043 0.101  -1.043 -0.019  -0.962 -0.106  -0.874 -0.182  -0.754 -0.182  -0.633 -0.182  -0.513 -0.182  -0.412 -0.202  -0.412 -0.322  -0.311 -0.340  -0.209 -0.385  -0.124 -0.470  -0.097 -0.579  -0.053 -0.656  0.061 -0.662  0.061 -0.782  0.123 -0.876  0.208 -0.961  0.219 -1.077  0.287 -1.129  0.376 -1.159  0.376 -1.279  0.489 -1.287  0.534 -1.362  0.572 -1.444  0.692 -1.444
2#apa#apa03#app0399/<  1.070 1.105  1.070 1.000  0.995 0.970  0.890 0.970  0.785 0.970  0.680 0.970  0.575 0.970  0.488 0.927  0.414 0.853  0.316 0.836  0.212 0.836  0.112 0.821  0.038 0.747  -0.047 0.701  -0.152 0.701  -0.257 0.701  -0.362 0.701  -0.412 0.646  -0.437 0.566  -0.542 0.566  -0.618 0.495  -0.696 0.431  -0.801 0.431  -0.817 0.342  -0.775 0.255  -0.701 0.180  -0.627 0.106  -0.552 0.032  -0.450 0.027  -0.365 -0.021  -0.290 -0.095  -0.278 -0.195  -0.237 -0.283  -0.163 -0.357  -0.143 -0.454  -0.143 -0.559  -0.131 -0.659  -0.057 -0.733  -0.008 -0.817  -0.004 -0.921  0.070 -0.995  0.127 -1.076  0.127 -1.181  0.197 -1.257  0.261 -1.335  0.261 -1.440  0.261 -1.545  0.321 -1.590  0.396 -1.620  0.396 -1.725
2#apa#apa03#app0399/<  1.207 1.064  1.105 1.064  1.025 1.010  0.953 0.938  0.852 0.935  0.750 0.935  0.661 0.903  0.589 0.831  0.497 0.807  0.395 0.807  0.292 0.807  0.190 0.807  0.088 0.807  -0.014 0.807  -0.104 0.779  -0.177 0.707  -0.267 0.679  -0.369 0.679  -0.468 0.672  -0.541 0.600  -0.622 0.550  -0.719 0.545  -0.719 0.443  -0.719 0.341  -0.719 0.239  -0.699 0.145  -0.626 0.073  -0.554 0.000  -0.482 -0.072  -0.462 -0.166  -0.414 -0.220  -0.324 -0.239  -0.278 -0.330  -0.233 -0.422  -0.205 -0.517  -0.191 -0.605  -0.089 -0.605  -0.077 -0.695  -0.077 -0.797  -0.077 -0.899  -0.069 -0.998  0.003 -1.070  0.052 -1.152  0.057 -1.252  0.129 -1.325  0.180 -1.405  0.184 -1.504  0.286 -1.504  0.364 -1.560  0.437 -1.632
