2#app#app25#app2545/b  0.575 1.633  0.575 1.832  0.575 1.791  0.575 1.592  0.575 1.393  0.414 1.355  0.297 1.274  0.297 1.075  0.297 0.876  0.175 0.800  0.020 0.757  0.020 0.558  -0.144 0.523  -0.258 0.438  -0.258 0.240  -0.258 0.041  -0.347 -0.121  -0.487 -0.261  -0.627 -0.402  -0.768 -0.542  -0.813 -0.722  -0.813 -0.809  -0.813 -0.610  -0.813 -0.412  -0.716 -0.310  -0.523 -0.297  -0.382 -0.157  -0.235 -0.032  -0.036 -0.032  0.020 0.110  0.020 0.309  0.020 0.508  0.149 0.393  0.290 0.253  0.485 0.245  0.575 0.136  0.575 -0.063  0.575 -0.261  0.575 -0.460  0.524 -0.638  0.384 -0.778  0.297 -0.941  0.297 -1.140  0.297 -1.338  0.180 -1.420  -0.018 -1.420  -0.217 -1.420  -0.258 -1.262  -0.337 -1.142  -0.535 -1.142
1c#apb#apb09#app0910/b  -0.477 1.898  -0.488 1.742  -0.479 1.566  -0.472 1.390  -0.465 1.215  -0.458 1.039  -0.458 0.863  -0.458 0.687  -0.458 0.512  -0.456 0.336  -0.445 0.160  -0.434 -0.015  -0.423 -0.190  -0.404 -0.365  -0.382 -0.539  -0.362 -0.714  -0.373 -0.889  -0.369 -1.064  -0.346 -1.203  -0.352 -1.032  -0.362 -0.856  -0.369 -0.681  -0.376 -0.505  -0.380 -0.329  -0.380 -0.154  -0.380 0.022  -0.351 0.194  -0.300 0.362  -0.233 0.521  -0.121 0.657  0.023 0.752  0.192 0.793  0.362 0.793  0.524 0.724  0.667 0.625  0.797 0.507  0.870 0.348  0.939 0.186  0.982 0.016  1.010 -0.155  0.985 -0.329  0.944 -0.500  0.894 -0.668  0.799 -0.816  0.683 -0.946  0.553 -1.064  0.396 -1.144  0.236 -1.213  0.065 -1.256  -0.109 -1.280
3#apa#apa04#app0433/b  0.185 2.059  0.165 1.907  0.052 1.794  0.024 1.661  -0.081 1.606  -0.081 1.446  -0.159 1.318  -0.213 1.180  -0.213 1.020  -0.275 0.874  -0.346 0.730  -0.346 0.570  -0.364 0.413  -0.415 0.261  -0.466 0.109  -0.479 -0.049  -0.479 -0.210  -0.508 -0.358  -0.611 -0.475  -0.611 -0.635  -0.611 -0.796  -0.611 -0.956  -0.611 -1.116  -0.504 -1.018  -0.479 -0.868  -0.346 -0.840  -0.313 -0.694  -0.200 -0.581  -0.086 -0.467  -0.013 -0.325  0.063 -0.185  0.176 -0.072  0.196 0.081  0.309 0.194  0.423 0.307  0.572 0.334  0.715 0.318  0.715 0.158  0.715 -0.003  0.715 -0.163  0.715 -0.323  0.715 -0.483  0.680 -0.629  0.583 -0.749  0.583 -0.909  0.505 -0.992  0.376 -1.066  0.240 -1.125  0.080 -1.125  -0.081 -1.125
2#apa#apa01#app0177/b  -0.875 1.916  -0.835 1.796  -0.755 1.717  -0.755 1.557  -0.717 1.435  -0.635 1.358  -0.635 1.198  -0.524 1.084  -0.515 0.928  -0.468 0.788  -0.395 0.659  -0.395 0.499  -0.395 0.339  -0.395 0.180  -0.395 0.020  -0.381 -0.126  -0.274 -0.179  -0.274 -0.339  -0.274 -0.499  -0.274 -0.659  -0.274 -0.636  -0.267 -0.479  -0.154 -0.366  -0.154 -0.206  -0.098 -0.070  0.015 0.043  0.128 0.156  0.255 0.234  0.415 0.234  0.575 0.234  0.687 0.186  0.774 0.114  0.807 -0.013  0.853 -0.126  0.927 -0.212  0.927 -0.372  0.927 -0.532  0.927 -0.691  0.839 -0.815  0.807 -0.961  0.687 -1.001  0.614 -1.087  0.454 -1.087  0.294 -1.087  0.156 -1.037  0.025 -0.967  -0.135 -0.967  -0.169 -0.833  -0.282 -0.720  -0.395 -0.607
2#lav#lav2#mp_0005/b  -0.557 -0.758  -0.532 -0.901  -0.348 -0.876  -0.205 -0.771  -0.085 -0.630  0.002 -0.466  0.041 -0.285  0.074 -0.103  0.099 0.082  0.123 0.266  0.142 0.450  0.157 0.636  0.171 0.821  0.177 1.006  0.182 1.192  0.159 1.376  0.125 1.558  0.087 1.740  -0.041 1.786  -0.182 1.683  -0.239 1.508  -0.284 1.328  -0.326 1.147  -0.367 0.966  -0.394 0.782  -0.420 0.598  -0.446 0.414  -0.465 0.230  -0.485 0.045  -0.505 -0.140  -0.491 -0.325  -0.472 -0.509  -0.446 -0.693  -0.397 -0.872  -0.348 -1.051  -0.218 -1.183  -0.069 -1.290  0.101 -1.360  0.283 -1.331  0.440 -1.236  0.528 -1.079  0.560 -0.896  0.585 -0.712  0.545 -0.534  0.481 -0.359  0.380 -0.209  0.456 -0.258  0.628 -0.301  0.809 -0.274  0.986 -0.215
2#lav#lav2#mp_0005/b  -0.547 2.039  -0.557 1.879  -0.558 1.718  -0.550 1.558  -0.539 1.398  -0.525 1.238  -0.518 1.078  -0.518 0.917  -0.518 0.757  -0.513 0.596  -0.504 0.436  -0.495 0.276  -0.483 0.116  -0.454 -0.042  -0.426 -0.200  -0.393 -0.358  -0.358 -0.514  -0.329 -0.672  -0.277 -0.824  -0.320 -0.724  -0.364 -0.570  -0.386 -0.412  -0.386 -0.251  -0.386 -0.091  -0.377 0.069  -0.308 0.212  -0.189 0.297  -0.032 0.330  0.127 0.354  0.285 0.334  0.443 0.304  0.596 0.262  0.732 0.176  0.875 0.104  1.004 0.013  1.095 -0.116  1.145 -0.268  1.125 -0.425  1.067 -0.573  0.990 -0.713  0.881 -0.821  0.736 -0.889  0.583 -0.937  0.428 -0.978  0.270 -1.004  0.110 -1.020  -0.050 -1.030  -0.210 -1.038  -0.287 -1.023  -0.137 -0.966
2#lav#lav2#mp_0005/b  -0.553 -1.206  -0.395 -1.143  -0.270 -1.041  -0.179 -0.898  -0.085 -0.757  -0.011 -0.607  0.025 -0.441  0.061 -0.275  0.100 -0.110  0.142 0.055  0.184 0.219  0.226 0.384  0.258 0.550  0.290 0.717  0.322 0.884  0.334 1.053  0.345 1.222  0.329 1.391  0.302 1.558  0.262 1.723  0.133 1.709  0.006 1.610  -0.074 1.460  -0.152 1.309  -0.209 1.149  -0.266 0.990  -0.318 0.828  -0.347 0.661  -0.375 0.494  -0.399 0.326  -0.410 0.156  -0.421 -0.013  -0.431 -0.183  -0.436 -0.352  -0.441 -0.522  -0.444 -0.692  -0.408 -0.858  -0.372 -1.023  -0.300 -1.175  -0.187 -1.296  -0.032 -1.319  0.121 -1.247  0.253 -1.140  0.349 -1.003  0.412 -0.847  0.450 -0.682  0.501 -0.520  0.550 -0.375  0.708 -0.321  0.853 -0.401
2#lav#lav2#mp_0005/b  -0.703 -0.985  -0.589 -0.846  -0.470 -0.711  -0.338 -0.588  -0.229 -0.446  -0.121 -0.301  -0.011 -0.159  0.060 0.007  0.130 0.172  0.197 0.340  0.262 0.507  0.317 0.678  0.347 0.856  0.373 1.034  0.385 1.213  0.374 1.392  0.313 1.552  0.148 1.595  -0.021 1.563  -0.155 1.444  -0.259 1.297  -0.359 1.148  -0.455 0.996  -0.529 0.834  -0.576 0.660  -0.624 0.486  -0.652 0.309  -0.677 0.130  -0.702 -0.048  -0.703 -0.228  -0.703 -0.408  -0.685 -0.586  -0.656 -0.764  -0.577 -0.925  -0.447 -1.035  -0.280 -1.098  -0.100 -1.092  0.079 -1.075  0.255 -1.040  0.428 -0.990  0.579 -0.906  0.657 -0.746  0.675 -0.569  0.627 -0.400  0.498 -0.298  0.633 -0.410  0.812 -0.426  0.992 -0.419  1.171 -0.401  1.309 -0.314
2#lav#lav2#mp_0005/b  -0.269 1.827  -0.284 1.993  -0.294 1.816  -0.303 1.639  -0.312 1.462  -0.312 1.285  -0.312 1.107  -0.312 0.930  -0.318 0.753  -0.327 0.576  -0.336 0.399  -0.340 0.222  -0.340 0.044  -0.340 -0.133  -0.340 -0.310  -0.342 -0.487  -0.371 -0.662  -0.383 -0.835  -0.397 -0.659  -0.412 -0.482  -0.412 -0.305  -0.410 -0.127  -0.400 0.050  -0.367 0.222  -0.275 0.364  -0.100 0.393  0.072 0.369  0.243 0.323  0.416 0.288  0.590 0.253  0.761 0.205  0.930 0.154  1.053 0.031  1.167 -0.105  1.232 -0.255  1.204 -0.430  1.088 -0.553  0.948 -0.662  0.807 -0.770  0.646 -0.833  0.472 -0.872  0.298 -0.904  0.123 -0.927  -0.053 -0.951  -0.230 -0.967  -0.406 -0.984  -0.582 -0.981  -0.756 -0.949  -0.760 -0.851  -0.654 -0.709
2#apa#apa15#app1597/b  -0.618 1.861  -0.618 1.701  -0.618 1.540  -0.618 1.380  -0.618 1.220  -0.618 1.060  -0.618 0.900  -0.618 0.740  -0.618 0.579  -0.618 0.419  -0.618 0.259  -0.618 0.099  -0.618 -0.061  -0.618 -0.222  -0.618 -0.382  -0.618 -0.542  -0.618 -0.702  -0.586 -0.830  -0.426 -0.829  -0.426 -0.669  -0.426 -0.509  -0.426 -0.349  -0.426 -0.189  -0.403 -0.038  -0.290 0.075  -0.234 0.212  -0.234 0.372  -0.217 0.515  -0.057 0.515  0.104 0.515  0.245 0.453  0.378 0.364  0.511 0.275  0.645 0.186  0.770 0.088  0.884 -0.025  0.997 -0.139  1.110 -0.252  1.223 -0.365  1.304 -0.492  1.293 -0.648  1.180 -0.761  1.048 -0.830  0.888 -0.830  0.728 -0.830  0.576 -0.880  0.424 -0.931  0.272 -0.981  0.119 -1.022  -0.042 -1.022
3#kai#kai1#jhkim5/b  -0.992 -0.238  -0.875 -0.121  -0.758 -0.004  -0.640 0.111  -0.503 0.203  -0.402 0.331  -0.283 0.440  -0.141 0.525  -0.012 0.627  0.105 0.743  0.221 0.860  0.338 0.977  0.440 1.106  0.518 1.251  0.557 1.410  0.523 1.528  0.371 1.469  0.254 1.352  0.137 1.235  0.025 1.115  -0.067 0.977  -0.122 0.822  -0.207 0.681  -0.246 0.527  -0.268 0.365  -0.304 0.204  -0.305 0.039  -0.332 -0.124  -0.360 -0.287  -0.361 -0.452  -0.361 -0.618  -0.361 -0.783  -0.386 -0.944  -0.418 -1.104  -0.418 -1.269  -0.379 -1.430  -0.268 -1.500  -0.141 -1.428  -0.039 -1.301  0.094 -1.202  0.218 -1.093  0.330 -0.974  0.383 -0.817  0.456 -0.669  0.534 -0.524  0.619 -0.382  0.732 -0.316  0.884 -0.380  1.022 -0.468  1.187 -0.468
