2#app#app25#app2545/j  0.633 0.672  0.633 0.517  0.633 0.362  0.633 0.208  0.491 0.195  0.474 0.057  0.474 -0.098  0.345 -0.123  0.315 -0.248  0.229 -0.367  0.156 -0.491  0.156 -0.646  0.114 -0.759  -0.003 -0.796  -0.036 -0.918  -0.162 -0.947  -0.187 -1.077  -0.342 -1.077  -0.496 -1.077  -0.639 -1.065  -0.647 -0.918  -0.798 -0.915  -0.798 -0.760  -0.798 -0.606  -0.947 -0.600  -0.957 -0.455  -1.098 -0.441  -0.980 -0.441  -0.825 -0.441  -0.670 -0.441  -0.639 -0.318  -0.520 -0.282  -0.365 -0.282  -0.263 -0.188  -0.182 -0.056  -0.101 0.075  -0.020 0.207  0.061 0.339  0.142 0.471  0.223 0.602  0.304 0.734  0.385 0.866  0.466 0.998  0.547 1.129  0.628 1.261  0.710 1.393  0.791 1.525  0.872 1.656  0.955 1.784  1.109 1.784
1c#apb#apb09#app0910/j  0.369 0.853  0.282 0.778  0.243 0.648  0.231 0.511  0.237 0.373  0.246 0.236  0.266 0.100  0.290 -0.036  0.323 -0.170  0.363 -0.302  0.402 -0.434  0.435 -0.567  0.453 -0.704  0.453 -0.841  0.428 -0.976  0.372 -1.099  0.276 -1.197  0.167 -1.280  0.036 -1.324  -0.099 -1.340  -0.237 -1.344  -0.373 -1.368  -0.506 -1.337  -0.564 -1.244  -0.532 -1.110  -0.501 -0.976  -0.470 -0.842  -0.439 -0.708  -0.408 -0.573  -0.377 -0.439  -0.346 -0.305  -0.315 -0.170  -0.284 -0.036  -0.253 0.098  -0.221 0.232  -0.190 0.367  -0.159 0.501  -0.128 0.635  -0.097 0.769  -0.066 0.904  -0.035 1.038  -0.004 1.172  0.027 1.307  0.058 1.441  0.089 1.575  0.116 1.699  0.079 1.571  0.079 1.433  0.105 1.299  0.179 1.183
1c#app#app18#app1895/j  -0.011 1.538  0.084 1.538  0.113 1.538  0.017 1.538  -0.011 1.471  -0.011 1.375  -0.011 1.280  0.027 1.223  0.123 1.223  0.146 1.150  0.146 1.055  0.146 0.959  0.146 0.864  0.146 0.768  0.146 0.672  0.146 0.577  0.146 0.481  0.181 0.400  0.248 0.332  0.304 0.260  0.304 0.164  0.304 0.069  0.304 -0.027  0.304 -0.123  0.314 -0.216  0.357 -0.301  0.399 -0.387  0.442 -0.472  0.462 -0.563  0.462 -0.659  0.462 -0.755  0.445 -0.843  0.378 -0.911  0.310 -0.978  0.217 -0.984  0.121 -0.984  0.026 -0.984  -0.064 -0.958  -0.149 -0.915  -0.235 -0.872  -0.320 -0.830  -0.415 -0.827  -0.511 -0.827  -0.606 -0.827  -0.702 -0.827  -0.798 -0.827  -0.893 -0.827  -0.979 -0.849  -1.047 -0.917  -1.115 -0.984
1c#app#app18#app1895/j  -0.143 1.715  -0.143 1.800  -0.143 1.709  -0.143 1.618  -0.138 1.528  -0.097 1.447  -0.057 1.365  -0.055 1.274  -0.055 1.183  -0.053 1.093  -0.025 1.006  0.004 0.920  0.033 0.833  0.034 0.743  0.063 0.656  0.091 0.570  0.120 0.483  0.121 0.392  0.123 0.302  0.163 0.220  0.204 0.139  0.209 0.049  0.209 -0.042  0.236 -0.129  0.265 -0.215  0.294 -0.301  0.354 -0.368  0.385 -0.447  0.385 -0.538  0.385 -0.629  0.385 -0.720  0.385 -0.811  0.385 -0.902  0.385 -0.993  0.338 -1.064  0.264 -1.105  0.173 -1.105  0.082 -1.105  -0.009 -1.105  -0.087 -1.073  -0.155 -1.017  -0.246 -1.017  -0.332 -1.004  -0.396 -0.940  -0.461 -0.876  -0.530 -0.817  -0.606 -0.767  -0.682 -0.716  -0.758 -0.666  -0.760 -0.576
1c#app#app18#app1895/j  -0.179 1.535  -0.112 1.602  -0.098 1.690  -0.179 1.689  -0.179 1.595  -0.179 1.501  -0.179 1.407  -0.151 1.319  -0.109 1.235  -0.098 1.143  -0.098 1.049  -0.098 0.955  -0.098 0.860  -0.085 0.768  -0.055 0.679  -0.025 0.590  0.014 0.504  0.056 0.420  0.063 0.327  0.068 0.234  0.110 0.150  0.144 0.064  0.144 -0.031  0.165 -0.120  0.207 -0.204  0.242 -0.291  0.272 -0.381  0.301 -0.470  0.305 -0.564  0.315 -0.654  0.382 -0.720  0.426 -0.804  0.467 -0.888  0.467 -0.982  0.467 -1.077  0.424 -1.128  0.330 -1.128  0.235 -1.128  0.142 -1.126  0.075 -1.059  -0.006 -1.013  -0.090 -0.971  -0.183 -0.965  -0.267 -0.922  -0.352 -0.882  -0.441 -0.852  -0.531 -0.822  -0.610 -0.777  -0.677 -0.710  -0.744 -0.644
1c#app#app18#app1895/j  -0.080 1.929  -0.078 1.834  -0.035 1.748  0.008 1.663  0.012 1.568  0.012 1.472  0.012 1.376  0.014 1.281  0.037 1.188  0.060 1.095  0.083 1.003  0.103 0.909  0.103 0.814  0.103 0.718  0.103 0.622  0.117 0.530  0.160 0.444  0.194 0.357  0.194 0.261  0.194 0.165  0.194 0.070  0.194 -0.026  0.194 -0.122  0.194 -0.217  0.216 -0.308  0.259 -0.393  0.286 -0.483  0.286 -0.578  0.286 -0.674  0.286 -0.770  0.286 -0.865  0.286 -0.961  0.286 -1.057  0.219 -1.086  0.194 -1.157  0.119 -1.177  0.023 -1.177  0.012 -1.093  -0.051 -1.024  -0.119 -0.956  -0.192 -0.903  -0.288 -0.903  -0.354 -0.873  -0.378 -0.788  -0.446 -0.720  -0.513 -0.652  -0.581 -0.585  -0.657 -0.538  -0.743 -0.514  -0.811 -0.446
1c#app#app18#app1895/j  -0.057 1.202  -0.037 1.271  0.012 1.310  0.012 1.399  0.012 1.488  -0.018 1.547  -0.057 1.497  -0.057 1.408  -0.057 1.320  -0.057 1.231  -0.057 1.142  -0.049 1.056  0.012 0.993  0.012 0.904  0.012 0.815  0.012 0.727  0.016 0.638  0.044 0.554  0.072 0.470  0.081 0.383  0.081 0.294  0.081 0.205  0.081 0.116  0.081 0.027  0.088 -0.060  0.116 -0.145  0.144 -0.229  0.181 -0.309  0.219 -0.389  0.219 -0.478  0.219 -0.567  0.219 -0.656  0.278 -0.720  0.288 -0.805  0.288 -0.893  0.288 -0.982  0.288 -1.071  0.229 -1.135  0.166 -1.198  0.084 -1.214  -0.005 -1.214  -0.094 -1.214  -0.183 -1.214  -0.249 -1.160  -0.332 -1.145  -0.415 -1.132  -0.481 -1.076  -0.540 -1.046  -0.589 -1.007  -0.609 -0.938
3#app#app13#app1396/j  -0.018 0.803  0.099 0.791  0.099 0.661  0.099 0.531  0.099 0.401  0.099 0.271  0.099 0.141  0.099 0.012  0.099 -0.118  0.099 -0.248  0.099 -0.378  0.099 -0.508  0.099 -0.638  0.099 -0.768  0.099 -0.898  0.099 -1.028  0.099 -1.158  0.099 -1.288  0.000 -1.318  -0.018 -1.430  -0.024 -1.554  -0.136 -1.536  -0.131 -1.406  -0.126 -1.276  -0.122 -1.147  -0.117 -1.017  -0.112 -0.887  -0.108 -0.757  -0.103 -0.627  -0.099 -0.497  -0.094 -0.368  -0.089 -0.238  -0.085 -0.108  -0.080 0.022  -0.075 0.152  -0.071 0.282  -0.066 0.411  -0.061 0.541  -0.057 0.671  -0.052 0.801  -0.048 0.931  -0.043 1.061  -0.038 1.190  -0.034 1.320  -0.029 1.450  -0.024 1.580  -0.020 1.710  0.075 1.746  0.099 1.852  0.217 1.864
2#lav#lav2#mp_0005/j  -0.514 -0.789  -0.482 -0.599  -0.418 -0.418  -0.319 -0.256  -0.208 -0.101  -0.117 0.068  -0.010 0.228  0.083 0.396  0.153 0.575  0.208 0.759  0.278 0.936  0.300 0.893  0.263 0.704  0.260 0.513  0.261 0.321  0.240 0.130  0.220 -0.062  0.212 -0.254  0.203 -0.446  0.185 -0.637  0.155 -0.827  0.124 -1.017  0.114 -1.209  0.094 -1.399  0.047 -1.585  -0.055 -1.739  -0.216 -1.688  -0.332 -1.539  -0.398 -1.359  -0.453 -1.175  -0.461 -0.985  -0.415 -0.799  -0.298 -0.651  -0.173 -0.512  -0.136 -0.324  -0.099 -0.135  -0.061 0.054  -0.024 0.242  0.013 0.431  0.051 0.619  0.088 0.808  0.125 0.997  0.163 1.185  0.200 1.374  0.237 1.563  0.117 1.496  0.203 1.435  0.288 1.585  0.197 1.656  0.110 1.538
2#lav#lav2#mp_0005/j  -0.612 -0.390  -0.508 -0.247  -0.397 -0.111  -0.270 0.011  -0.155 0.144  -0.062 0.294  0.027 0.447  0.105 0.605  0.157 0.774  0.228 0.897  0.228 0.720  0.237 0.544  0.250 0.368  0.259 0.191  0.246 0.015  0.233 -0.161  0.205 -0.335  0.170 -0.508  0.135 -0.682  0.101 -0.855  0.066 -1.028  0.025 -1.200  -0.045 -1.362  -0.107 -1.526  -0.163 -1.689  -0.270 -1.719  -0.340 -1.557  -0.399 -1.391  -0.445 -1.220  -0.459 -1.053  -0.367 -0.904  -0.261 -0.767  -0.217 -0.596  -0.173 -0.425  -0.129 -0.254  -0.085 -0.082  -0.041 0.089  0.003 0.260  0.047 0.431  0.091 0.602  0.135 0.773  0.179 0.944  0.223 1.116  0.267 1.287  0.311 1.458  0.355 1.629  0.400 1.800  0.295 1.718  0.231 1.553  0.294 1.390
2#lav#lav2#mp_0005/j  -0.666 -0.260  -0.561 -0.113  -0.442 0.024  -0.314 0.152  -0.212 0.302  -0.104 0.447  0.011 0.588  0.113 0.738  0.207 0.893  0.303 1.046  0.331 0.993  0.323 0.811  0.316 0.630  0.306 0.449  0.297 0.268  0.292 0.087  0.292 -0.095  0.288 -0.276  0.265 -0.456  0.238 -0.635  0.179 -0.806  0.108 -0.972  0.024 -1.133  -0.064 -1.292  -0.157 -1.447  -0.259 -1.597  -0.369 -1.721  -0.482 -1.596  -0.561 -1.434  -0.595 -1.255  -0.601 -1.075  -0.569 -0.900  -0.491 -0.736  -0.402 -0.578  -0.268 -0.460  -0.106 -0.378  0.062 -0.309  0.092 -0.131  0.120 0.048  0.148 0.227  0.176 0.406  0.204 0.585  0.232 0.764  0.260 0.944  0.288 1.123  0.316 1.302  0.345 1.481  0.373 1.660  0.401 1.840  0.315 1.847
