1c#apa#apa03#app0358/k  0.098 1.882  -0.025 1.778  -0.209 1.698  -0.283 1.501  -0.396 1.319  -0.473 1.110  -0.520 0.893  -0.643 0.716  -0.643 0.488  -0.655 0.265  -0.766 0.083  -0.766 -0.145  -0.776 -0.372  -0.849 -0.588  -0.890 -0.809  -0.890 -1.037  -0.831 -1.206  -0.736 -1.056  -0.564 -0.906  -0.393 -0.756  -0.221 -0.605  -0.050 -0.455  0.122 -0.305  0.294 -0.155  0.465 -0.005  0.637 0.145  0.808 0.295  0.980 0.446  1.151 0.596  1.086 0.620  0.957 0.518  0.778 0.400  0.674 0.276  0.453 0.260  0.291 0.099  0.092 0.029  -0.103 -0.049  -0.301 -0.123  -0.490 -0.218  -0.643 -0.292  -0.464 -0.341  -0.283 -0.455  -0.059 -0.465  0.162 -0.497  0.368 -0.588  0.595 -0.591  0.773 -0.712  0.963 -0.750  1.086 -0.854  1.086 -1.082
1c#apb#apb09#app0910/k  -0.786 1.682  -0.868 1.508  -0.882 1.314  -0.862 1.117  -0.827 0.923  -0.770 0.734  -0.712 0.545  -0.671 0.351  -0.633 0.157  -0.596 -0.037  -0.525 -0.222  -0.452 -0.405  -0.380 -0.590  -0.311 -0.775  -0.279 -0.969  -0.241 -1.039  -0.148 -0.864  -0.056 -0.689  0.037 -0.514  0.129 -0.340  0.222 -0.165  0.314 0.010  0.407 0.185  0.499 0.360  0.592 0.535  0.684 0.710  0.777 0.885  0.869 1.060  0.817 1.039  0.660 0.919  0.499 0.803  0.338 0.689  0.175 0.576  0.007 0.472  -0.161 0.368  -0.338 0.280  -0.501 0.169  -0.535 -0.012  -0.423 -0.169  -0.281 -0.305  -0.120 -0.420  0.031 -0.547  0.171 -0.687  0.311 -0.826  0.471 -0.943  0.630 -1.061  0.754 -1.214  0.879 -1.368  0.990 -1.532  1.097 -1.698
1c#ced#cypl9614_s_jd/k  -0.738 1.100  -0.626 1.291  -0.555 1.498  -0.541 1.717  -0.574 1.582  -0.574 1.359  -0.551 1.139  -0.541 0.917  -0.539 0.694  -0.509 0.474  -0.493 0.253  -0.459 0.032  -0.443 -0.190  -0.426 -0.411  -0.389 -0.631  -0.378 -0.853  -0.348 -1.074  -0.331 -1.295  -0.313 -1.516  -0.232 -1.445  -0.117 -1.253  -0.003 -1.062  0.111 -0.870  0.225 -0.679  0.340 -0.487  0.454 -0.296  0.568 -0.104  0.682 0.087  0.797 0.279  0.913 0.462  1.055 0.631  1.141 0.791  0.951 0.718  0.755 0.613  0.557 0.514  0.361 0.409  0.146 0.349  -0.046 0.236  -0.255 0.160  -0.463 0.080  -0.660 -0.011  -0.556 -0.161  -0.367 -0.277  -0.162 -0.364  0.037 -0.464  0.237 -0.564  0.430 -0.674  0.628 -0.774  0.806 -0.907  0.995 -1.025
2#apa#apa10#app1051/k  -0.297 1.915  -0.334 1.769  -0.370 1.623  -0.407 1.477  -0.443 1.331  -0.480 1.185  -0.541 1.048  -0.608 0.913  -0.676 0.779  -0.706 0.631  -0.735 0.484  -0.765 0.336  -0.794 0.188  -0.824 0.041  -0.853 -0.107  -0.866 -0.256  -0.866 -0.407  -0.859 -0.550  -0.708 -0.550  -0.578 -0.484  -0.453 -0.401  -0.327 -0.317  -0.202 -0.234  -0.074 -0.154  0.060 -0.087  0.195 -0.019  0.336 0.019  0.487 0.019  0.637 0.019  0.788 0.019  0.928 0.063  1.063 0.130  1.197 0.197  1.220 0.083  1.158 -0.042  1.052 -0.149  0.923 -0.224  0.788 -0.291  0.654 -0.359  0.519 -0.426  0.385 -0.493  0.254 -0.567  0.148 -0.673  0.042 -0.780  -0.065 -0.886  -0.044 -0.993  0.062 -1.099  0.192 -1.174  0.327 -1.241  0.461 -1.308
1c#apa#apa14#app1460/k  -0.035 1.340  -0.154 1.516  -0.168 1.417  -0.239 1.203  -0.273 0.983  -0.273 0.758  -0.273 0.532  -0.273 0.306  -0.273 0.081  -0.273 -0.145  -0.273 -0.370  -0.273 -0.596  -0.284 -0.817  -0.393 -0.998  -0.393 -1.223  -0.393 -1.449  -0.425 -1.642  -0.506 -1.505  -0.432 -1.291  -0.358 -1.078  -0.284 -0.865  -0.210 -0.652  -0.137 -0.439  -0.063 -0.225  0.011 -0.012  0.085 0.201  0.158 0.414  0.232 0.627  0.306 0.840  0.380 1.054  0.454 1.267  0.527 1.480  0.507 1.470  0.406 1.268  0.310 1.064  0.239 0.850  0.141 0.649  0.016 0.461  -0.109 0.274  -0.235 0.086  -0.367 0.002  -0.196 -0.143  -0.008 -0.268  0.165 -0.411  0.325 -0.571  0.484 -0.730  0.614 -0.911  0.734 -1.099  0.800 -1.297  0.681 -1.404
1c#apa#apa09#app0950/k  -0.160 1.429  -0.240 1.589  -0.289 1.756  -0.289 1.700  -0.289 1.522  -0.289 1.343  -0.289 1.165  -0.289 0.987  -0.289 0.808  -0.289 0.630  -0.305 0.453  -0.344 0.279  -0.383 0.105  -0.421 -0.069  -0.460 -0.243  -0.499 -0.417  -0.537 -0.591  -0.589 -0.762  -0.645 -0.931  -0.677 -1.104  -0.677 -1.027  -0.677 -0.848  -0.641 -0.677  -0.575 -0.511  -0.508 -0.346  -0.442 -0.180  -0.355 -0.025  -0.256 0.123  -0.155 0.269  0.005 0.349  0.170 0.414  0.343 0.457  0.516 0.500  0.691 0.525  0.869 0.525  0.951 0.369  0.967 0.214  0.869 0.065  0.770 -0.083  0.744 -0.254  0.700 -0.409  0.552 -0.508  0.404 -0.606  0.302 -0.747  0.228 -0.908  0.270 -1.068  0.396 -1.194  0.535 -1.300  0.704 -1.357  0.874 -1.413
2#apa#apa04#app0443/k  -0.109 2.273  -0.109 2.077  -0.109 1.881  -0.156 1.696  -0.244 1.521  -0.367 1.372  -0.431 1.203  -0.431 1.007  -0.431 0.811  -0.431 0.615  -0.431 0.419  -0.431 0.223  -0.431 0.027  -0.431 -0.169  -0.431 -0.365  -0.431 -0.560  -0.431 -0.756  -0.434 -0.951  -0.573 -1.090  -0.588 -1.266  -0.456 -1.121  -0.325 -0.976  -0.193 -0.831  -0.061 -0.686  0.071 -0.541  0.203 -0.396  0.334 -0.251  0.466 -0.106  0.598 0.039  0.730 0.184  0.861 0.329  0.993 0.473  1.018 0.343  0.825 0.340  0.629 0.340  0.463 0.268  0.304 0.179  0.213 0.074  0.073 0.018  0.039 -0.143  -0.143 -0.177  -0.270 -0.320  -0.270 -0.516  -0.270 -0.712  -0.150 -0.787  0.001 -0.897  0.175 -0.949  0.371 -0.949  0.510 -1.085  0.696 -1.110
2#apa#apa04#app0443/k  -0.455 1.977  -0.455 1.776  -0.455 1.576  -0.455 1.376  -0.554 1.216  -0.621 1.043  -0.621 0.843  -0.621 0.643  -0.621 0.442  -0.621 0.242  -0.621 0.041  -0.621 -0.159  -0.634 -0.354  -0.776 -0.496  -0.770 -0.661  -0.603 -0.549  -0.436 -0.438  -0.269 -0.327  -0.103 -0.216  0.064 -0.105  0.231 0.006  0.398 0.118  0.564 0.229  0.731 0.340  0.898 0.451  1.065 0.562  1.163 0.653  0.962 0.653  0.869 0.545  0.727 0.487  0.530 0.479  0.388 0.337  0.247 0.196  0.105 0.054  -0.069 -0.010  -0.227 -0.112  -0.290 -0.287  -0.436 -0.341  -0.455 -0.522  -0.455 -0.723  -0.369 -0.837  -0.290 -0.958  -0.134 -1.003  0.059 -1.020  0.201 -1.162  0.399 -1.168  0.599 -1.168  0.799 -1.168  1.000 -1.168  1.035 -1.334
3#app#app12#app1222/k  -0.712 2.170  -0.712 1.964  -0.712 1.759  -0.712 1.554  -0.712 1.348  -0.712 1.143  -0.642 0.954  -0.578 0.764  -0.578 0.559  -0.578 0.353  -0.578 0.148  -0.578 -0.057  -0.568 -0.259  -0.444 -0.412  -0.444 -0.618  -0.427 -0.819  -0.336 -1.003  -0.233 -0.931  -0.125 -0.756  -0.017 -0.581  0.090 -0.406  0.198 -0.231  0.306 -0.056  0.413 0.118  0.521 0.293  0.628 0.468  0.736 0.643  0.631 0.677  0.546 0.557  0.475 0.423  0.321 0.340  0.229 0.156  0.081 0.020  -0.040 -0.064  -0.175 -0.135  -0.239 -0.314  -0.309 -0.490  -0.435 -0.643  -0.444 -0.845  -0.314 -0.921  -0.109 -0.921  0.056 -0.824  0.246 -0.787  0.451 -0.787  0.649 -0.769  0.806 -0.652  0.979 -0.573  1.161 -0.518  1.367 -0.518  1.572 -0.518
2#apb#apb12#app1217/k  -1.000 0.626  -0.949 0.488  -0.939 0.342  -0.939 0.195  -0.933 0.048  -0.925 -0.100  -0.918 -0.247  -0.918 -0.394  -0.918 -0.541  -0.889 -0.686  -0.860 -0.830  -0.830 -0.975  -0.800 -1.119  -0.759 -1.239  -0.733 -1.108  -0.733 -0.960  -0.733 -0.813  -0.723 -0.667  -0.669 -0.531  -0.594 -0.405  -0.509 -0.284  -0.401 -0.184  -0.292 -0.085  -0.184 0.015  -0.075 0.114  0.038 0.209  0.153 0.301  0.268 0.393  0.397 0.464  0.527 0.534  0.649 0.614  0.766 0.704  0.886 0.789  1.016 0.859  1.142 0.936  1.275 0.994  1.345 0.943  1.272 0.821  1.181 0.706  1.089 0.590  0.998 0.474  0.907 0.359  0.815 0.243  0.724 0.128  0.633 0.012  0.541 -0.104  0.450 -0.219  0.358 -0.335  0.373 -0.469  0.419 -0.609
2#lav#lav2#mp_0005/k  -0.826 -0.963  -0.635 -0.874  -0.488 -0.726  -0.356 -0.562  -0.250 -0.382  -0.187 -0.180  -0.131 0.023  -0.095 0.230  -0.074 0.440  -0.074 0.651  -0.068 0.862  -0.059 1.072  -0.018 1.279  0.018 1.487  0.018 1.696  -0.048 1.895  -0.093 1.844  -0.134 1.639  -0.141 1.428  -0.148 1.217  -0.154 1.006  -0.159 0.795  -0.166 0.584  -0.173 0.373  -0.177 0.163  -0.177 -0.048  -0.193 -0.259  -0.233 -0.464  -0.310 -0.660  -0.369 -0.862  -0.418 -1.067  -0.444 -1.128  -0.404 -0.921  -0.373 -0.712  -0.301 -0.514  -0.192 -0.335  -0.078 -0.158  0.069 -0.010  0.268 0.060  0.453 -0.021  0.619 -0.149  0.721 -0.317  0.594 -0.486  0.401 -0.554  0.433 -0.736  0.577 -0.890  0.721 -1.045  0.887 -1.171  1.081 -1.245  1.284 -1.303
