1c#apb#apb09#app0910/q  0.483 1.131  0.429 1.268  0.301 1.330  0.155 1.313  0.035 1.227  -0.084 1.140  -0.199 1.046  -0.310 0.950  -0.376 0.818  -0.442 0.685  -0.498 0.548  -0.551 0.410  -0.583 0.268  -0.583 0.120  -0.535 -0.015  -0.434 -0.114  -0.296 -0.136  -0.153 -0.098  -0.023 -0.029  0.102 0.049  0.199 0.158  0.289 0.276  0.364 0.403  0.427 0.536  0.493 0.669  0.563 0.799  0.600 0.924  0.512 0.807  0.442 0.677  0.375 0.545  0.310 0.412  0.258 0.273  0.206 0.135  0.153 -0.003  0.099 -0.141  0.045 -0.279  -0.012 -0.415  -0.078 -0.548  -0.144 -0.680  -0.191 -0.818  -0.215 -0.964  -0.238 -1.111  -0.253 -1.258  -0.265 -1.405  -0.263 -1.551  -0.227 -1.695  -0.160 -1.823  -0.052 -1.917  0.088 -1.958  0.236 -1.958
1c#ced#cypl9614_s_jd/q  0.284 1.012  0.228 1.105  0.152 1.202  0.073 1.219  -0.052 1.174  -0.176 1.112  -0.286 1.028  -0.395 0.942  -0.488 0.843  -0.572 0.733  -0.600 0.601  -0.542 0.480  -0.420 0.417  -0.287 0.396  -0.153 0.420  -0.027 0.475  0.071 0.569  0.144 0.685  0.171 0.818  0.165 0.948  0.115 1.071  0.171 1.058  0.171 0.919  0.171 0.786  0.171 0.648  0.146 0.511  0.133 0.373  0.114 0.236  0.091 0.099  0.067 -0.038  0.043 -0.175  0.020 -0.312  0.020 -0.451  0.014 -0.589  -0.009 -0.726  -0.031 -0.863  -0.057 -1.000  -0.074 -1.137  -0.079 -1.276  -0.093 -1.414  -0.074 -1.549  -0.074 -1.688  -0.029 -1.729  0.022 -1.606  0.088 -1.485  0.163 -1.373  0.232 -1.256  0.321 -1.158  0.424 -1.067  0.529 -0.987
1c#apa#apa09#app0950/q  0.316 1.207  0.448 1.272  0.316 1.338  0.119 1.338  -0.078 1.338  -0.256 1.292  -0.396 1.152  -0.501 0.991  -0.563 0.804  -0.604 0.614  -0.603 0.417  -0.464 0.277  -0.317 0.155  -0.120 0.155  0.061 0.178  0.123 0.365  0.185 0.552  0.185 0.750  0.187 0.946  0.312 1.062  0.249 0.874  0.187 0.687  0.185 0.490  0.158 0.296  0.115 0.104  0.072 -0.089  0.029 -0.281  -0.014 -0.474  -0.056 -0.667  -0.097 -0.859  -0.136 -1.053  -0.175 -1.246  -0.218 -1.438  -0.306 -1.615  -0.341 -1.803  -0.318 -1.902  -0.230 -1.726  -0.142 -1.549  -0.066 -1.368  -0.023 -1.176  0.019 -0.983  0.062 -0.791  0.105 -0.598  0.148 -0.405  0.197 -0.215  0.285 -0.039  0.373 0.138  0.461 0.314  0.550 0.490  0.579 0.681
2#lav#lav2#mp_0005/q  0.393 0.288  0.525 0.409  0.633 0.540  0.610 0.717  0.587 0.895  0.503 1.049  0.397 1.193  0.262 1.310  0.117 1.407  -0.057 1.364  -0.200 1.280  -0.289 1.124  -0.378 0.969  -0.484 0.824  -0.594 0.682  -0.704 0.541  -0.762 0.372  -0.816 0.201  -0.887 0.037  -0.972 -0.121  -1.025 -0.292  -0.983 -0.445  -0.868 -0.583  -0.701 -0.541  -0.531 -0.486  -0.364 -0.423  -0.216 -0.321  -0.068 -0.220  0.080 -0.119  0.227 -0.017  0.354 0.109  0.469 0.246  0.575 0.391  0.649 0.549  0.625 0.450  0.587 0.275  0.540 0.102  0.473 -0.064  0.410 -0.232  0.392 -0.410  0.369 -0.588  0.307 -0.756  0.245 -0.924  0.184 -1.093  0.145 -1.268  0.106 -1.443  0.065 -1.617  0.026 -1.792  0.008 -1.873  0.038 -1.696
2#lav#lav2#mp_0005/q  0.221 0.006  0.310 0.146  0.400 0.285  0.439 0.445  0.471 0.608  0.506 0.770  0.536 0.932  0.536 1.098  0.536 1.264  0.516 1.423  0.407 1.495  0.261 1.417  0.120 1.333  0.008 1.211  -0.103 1.088  -0.208 0.959  -0.312 0.831  -0.412 0.698  -0.506 0.562  -0.600 0.425  -0.685 0.283  -0.770 0.141  -0.857 -0.000  -0.944 -0.142  -0.977 -0.302  -0.931 -0.442  -0.787 -0.519  -0.622 -0.519  -0.456 -0.519  -0.303 -0.455  -0.152 -0.389  -0.018 -0.291  0.111 -0.187  0.228 -0.070  0.343 0.049  0.453 0.173  0.444 0.063  0.409 -0.099  0.374 -0.261  0.368 -0.426  0.347 -0.591  0.326 -0.755  0.304 -0.919  0.257 -1.078  0.209 -1.237  0.159 -1.395  0.103 -1.551  0.036 -1.702  -0.043 -1.847  -0.052 -2.011
2#lav#lav2#mp_0005/q  0.347 0.943  0.361 1.093  0.281 1.218  0.184 1.331  0.052 1.403  -0.081 1.365  -0.201 1.276  -0.302 1.167  -0.377 1.037  -0.453 0.908  -0.555 0.798  -0.642 0.680  -0.682 0.535  -0.721 0.391  -0.755 0.245  -0.788 0.098  -0.818 -0.049  -0.794 -0.188  -0.659 -0.239  -0.512 -0.234  -0.364 -0.210  -0.226 -0.154  -0.092 -0.087  0.044 -0.023  0.172 0.051  0.273 0.162  0.349 0.288  0.399 0.429  0.402 0.578  0.393 0.728  0.370 0.582  0.348 0.434  0.334 0.284  0.320 0.135  0.285 -0.010  0.240 -0.153  0.209 -0.298  0.209 -0.448  0.225 -0.597  0.248 -0.745  0.267 -0.894  0.283 -1.043  0.285 -1.192  0.285 -1.342  0.302 -1.491  0.316 -1.641  0.316 -1.791  0.316 -1.927  0.308 -1.778  0.301 -1.628
2#lav#lav2#mp_0005/q  0.286 0.479  0.276 0.648  0.266 0.817  0.255 0.986  0.211 1.146  0.132 1.294  -0.025 1.347  -0.190 1.322  -0.349 1.265  -0.433 1.127  -0.505 0.975  -0.609 0.840  -0.704 0.701  -0.786 0.553  -0.867 0.404  -0.935 0.249  -0.993 0.091  -1.017 -0.077  -1.022 -0.244  -0.908 -0.370  -0.769 -0.457  -0.609 -0.514  -0.445 -0.520  -0.281 -0.478  -0.123 -0.423  0.020 -0.332  0.154 -0.229  0.277 -0.113  0.385 0.017  0.467 0.165  0.536 0.319  0.597 0.477  0.605 0.642  0.532 0.573  0.442 0.429  0.396 0.269  0.355 0.105  0.313 -0.059  0.275 -0.224  0.240 -0.390  0.241 -0.558  0.257 -0.727  0.284 -0.893  0.343 -1.051  0.406 -1.208  0.474 -1.364  0.546 -1.517  0.620 -1.669  0.666 -1.832  0.711 -1.995
2#lav#lav2#mp_0005/q  0.167 0.856  0.216 1.003  0.177 1.155  0.078 1.270  -0.074 1.269  -0.231 1.246  -0.370 1.176  -0.500 1.084  -0.613 0.975  -0.711 0.850  -0.809 0.725  -0.878 0.586  -0.920 0.434  -0.916 0.277  -0.901 0.118  -0.864 -0.035  -0.788 -0.174  -0.692 -0.301  -0.554 -0.315  -0.401 -0.277  -0.252 -0.220  -0.116 -0.140  0.022 -0.061  0.150 0.030  0.253 0.150  0.312 0.297  0.348 0.452  0.367 0.602  0.289 0.740  0.233 0.795  0.234 0.637  0.288 0.487  0.291 0.337  0.237 0.188  0.211 0.031  0.217 -0.125  0.248 -0.281  0.279 -0.437  0.289 -0.595  0.297 -0.754  0.357 -0.896  0.434 -1.034  0.457 -1.191  0.490 -1.346  0.531 -1.499  0.570 -1.653  0.609 -1.808  0.629 -1.700  0.647 -1.542  0.665 -1.384
2#lav#lav2#mp_0005/q  0.212 0.899  0.195 1.045  0.089 1.153  -0.041 1.233  -0.181 1.209  -0.317 1.142  -0.447 1.063  -0.573 0.976  -0.694 0.883  -0.795 0.772  -0.893 0.655  -0.960 0.531  -0.941 0.380  -0.912 0.230  -0.885 0.080  -0.821 -0.055  -0.701 -0.118  -0.548 -0.118  -0.396 -0.118  -0.245 -0.100  -0.098 -0.064  0.022 0.030  0.139 0.128  0.238 0.241  0.300 0.379  0.321 0.530  0.331 0.680  0.283 0.825  0.216 0.779  0.220 0.628  0.218 0.476  0.212 0.324  0.209 0.172  0.190 0.020  0.164 -0.130  0.134 -0.279  0.136 -0.430  0.113 -0.581  0.115 -0.730  0.153 -0.878  0.195 -1.024  0.250 -1.167  0.310 -1.306  0.390 -1.436  0.513 -1.525  0.641 -1.594  0.788 -1.552  0.935 -1.510  1.060 -1.435  1.157 -1.317
3#kai#kai1#jhkim5/q  -0.122 0.550  -0.104 0.774  -0.066 0.994  -0.066 1.220  -0.168 1.391  -0.364 1.318  -0.536 1.172  -0.655 0.998  -0.776 0.825  -0.851 0.638  -0.899 0.418  -0.901 0.194  -0.793 0.006  -0.605 -0.014  -0.416 0.111  -0.302 0.293  -0.114 0.394  0.022 0.572  0.178 0.722  0.276 0.924  0.369 1.128  0.324 0.992  0.270 0.774  0.244 0.554  0.147 0.349  0.076 0.135  0.046 -0.087  -0.014 -0.299  -0.101 -0.508  -0.173 -0.722  -0.178 -0.948  -0.235 -1.165  -0.263 -1.387  -0.291 -1.609  -0.261 -1.805  -0.039 -1.777  0.122 -1.635  0.255 -1.452  0.386 -1.267  0.531 -1.096  0.645 -0.906  0.756 -0.711  0.775 -0.491  0.775 -0.264  0.658 -0.101  0.442 -0.067  0.270 0.035  0.369 0.191  0.584 0.262  0.775 0.382
3#app#app18#app1860/q  0.049 1.167  -0.016 1.016  -0.102 1.146  -0.297 1.167  -0.403 1.057  -0.554 0.992  -0.643 0.865  -0.707 0.712  -0.856 0.557  -0.856 0.341  -0.759 0.165  -0.566 0.111  -0.350 0.111  -0.134 0.111  -0.069 0.262  0.147 0.262  0.173 0.422  0.138 0.635  0.102 0.848  0.067 1.061  0.158 1.167  0.049 1.190  0.049 1.229  0.049 1.013  0.049 0.797  0.049 0.581  0.049 0.365  0.049 0.149  -0.076 -0.015  -0.102 -0.220  -0.102 -0.436  -0.102 -0.652  -0.102 -0.868  -0.102 -1.084  -0.102 -1.300  -0.102 -1.516  0.049 -1.581  0.147 -1.699  0.363 -1.699  0.502 -1.622  0.644 -1.548  0.653 -1.341  0.653 -1.125  0.653 -0.909  0.653 -0.693  0.535 -0.526  0.489 -0.329  0.330 -0.191  0.200 -0.105  0.049 -0.040
