1c#apa#apa03#app0358/x  -1.011 0.751  -1.011 0.575  -0.892 0.448  -0.826 0.299  -0.774 0.144  -0.650 0.020  -0.641 -0.152  -0.487 -0.174  -0.353 -0.277  -0.271 -0.419  -0.220 -0.544  -0.056 -0.573  0.068 -0.698  0.231 -0.729  0.407 -0.729  0.583 -0.729  0.673 -0.626  0.704 -0.453  0.736 -0.280  0.767 -0.106  0.799 0.067  0.830 0.240  0.862 0.413  0.893 0.586  0.925 0.759  0.956 0.932  0.988 1.106  1.019 1.279  1.024 1.157  0.884 1.121  0.747 1.028  0.622 0.904  0.498 0.779  0.373 0.655  0.239 0.543  0.082 0.465  -0.075 0.386  -0.086 0.216  -0.155 0.057  -0.234 -0.101  -0.337 -0.241  -0.461 -0.365  -0.586 -0.489  -0.710 -0.614  -0.826 -0.742  -0.828 -0.917  -0.953 -1.041  -1.077 -1.166  -1.195 -1.293  -1.195 -1.469
1c#apb#apb09#app0910/x  0.734 1.611  0.690 1.433  0.625 1.259  0.604 1.075  0.584 0.890  0.549 0.707  0.512 0.525  0.476 0.343  0.447 0.159  0.419 -0.025  0.391 -0.208  0.318 -0.379  0.242 -0.549  0.171 -0.720  0.109 -0.896  0.036 -1.065  -0.067 -1.220  -0.205 -1.337  -0.355 -1.333  -0.399 -1.152  -0.443 -0.972  -0.488 -0.791  -0.532 -0.611  -0.576 -0.430  -0.621 -0.250  -0.665 -0.069  -0.710 0.111  -0.754 0.292  -0.798 0.472  -0.843 0.653  -0.887 0.833  -0.931 1.014  -0.958 1.172  -0.835 1.037  -0.710 0.900  -0.575 0.772  -0.439 0.645  -0.307 0.514  -0.176 0.383  -0.044 0.251  0.082 0.115  0.204 -0.025  0.325 -0.166  0.446 -0.307  0.565 -0.451  0.683 -0.594  0.811 -0.728  0.948 -0.854  1.095 -0.966  1.252 -1.066
1c#ced#cypl9614_s_jd/x  1.630 0.536  1.725 0.631  1.761 0.750  1.643 0.723  1.535 0.650  1.410 0.600  1.296 0.531  1.180 0.463  1.060 0.403  0.948 0.328  0.851 0.236  0.750 0.148  0.642 0.068  0.535 -0.013  0.427 -0.094  0.320 -0.174  0.208 -0.248  0.092 -0.317  -0.008 -0.405  -0.103 -0.500  -0.209 -0.582  -0.317 -0.663  -0.424 -0.743  -0.532 -0.824  -0.639 -0.904  -0.708 -0.789  -0.776 -0.673  -0.844 -0.557  -0.913 -0.442  -0.981 -0.326  -1.049 -0.210  -1.118 -0.095  -1.186 0.021  -1.164 0.140  -1.143 0.269  -1.119 0.398  -1.028 0.494  -0.945 0.495  -0.826 0.461  -0.700 0.435  -0.592 0.358  -0.483 0.283  -0.370 0.211  -0.269 0.122  -0.174 0.027  -0.079 -0.068  0.016 -0.163  0.123 -0.243  0.226 -0.329  0.321 -0.424
1c#ced#cypl9614_s_jd/x  0.893 0.964  1.028 1.029  1.121 1.146  1.209 1.258  1.062 1.268  0.927 1.161  0.823 1.028  0.705 0.900  0.593 0.766  0.488 0.627  0.378 0.494  0.263 0.364  0.158 0.224  0.054 0.085  -0.051 -0.054  -0.174 -0.175  -0.305 -0.288  -0.410 -0.428  -0.514 -0.567  -0.631 -0.696  -0.750 -0.823  -0.866 -0.953  -0.989 -1.076  -1.054 -1.102  -1.004 -0.935  -0.955 -0.768  -0.905 -0.601  -0.856 -0.434  -0.806 -0.267  -0.757 -0.100  -0.707 0.067  -0.657 0.234  -0.642 0.406  -0.687 0.535  -0.687 0.676  -0.584 0.544  -0.461 0.421  -0.328 0.310  -0.195 0.201  -0.072 0.078  0.070 -0.023  0.170 -0.164  0.309 -0.269  0.437 -0.387  0.536 -0.530  0.676 -0.634  0.819 -0.733  0.964 -0.830  1.109 -0.926  1.254 -1.023
1c#app#app18#app1895/x  -0.612 0.619  -0.739 0.746  -0.870 0.739  -0.744 0.612  -0.617 0.485  -0.588 0.318  -0.461 0.191  -0.337 0.064  -0.317 -0.111  -0.236 -0.271  -0.104 -0.347  0.035 -0.443  0.162 -0.570  0.289 -0.696  0.353 -0.849  0.483 -0.899  0.505 -1.007  0.580 -0.844  0.655 -0.681  0.730 -0.519  0.805 -0.356  0.880 -0.193  0.956 -0.031  1.031 0.132  1.106 0.295  1.181 0.458  1.256 0.620  1.290 0.757  1.131 0.806  0.989 0.895  0.809 0.895  0.630 0.895  0.451 0.895  0.296 0.837  0.150 0.757  0.002 0.681  -0.125 0.554  -0.252 0.428  -0.379 0.301  -0.505 0.174  -0.625 0.042  -0.705 -0.118  -0.750 -0.287  -0.834 -0.431  -0.961 -0.558  -1.026 -0.710  -1.117 -0.852  -1.244 -0.978  -1.302 -1.133  -1.302 -1.313
3#app#app13#app1396/x  -1.492 1.143  -1.492 0.932  -1.492 0.721  -1.353 0.649  -1.142 0.649  -0.951 0.602  -0.802 0.453  -0.653 0.303  -0.504 0.154  -0.354 0.005  -0.205 -0.144  -0.056 -0.293  -0.011 -0.485  -0.011 -0.696  0.064 -0.832  0.275 -0.832  0.483 -0.834  0.483 -1.045  0.483 -1.256  0.511 -1.187  0.552 -0.980  0.593 -0.774  0.635 -0.567  0.676 -0.360  0.717 -0.153  0.759 0.053  0.800 0.260  0.841 0.467  0.883 0.674  0.924 0.880  0.965 1.087  0.976 0.988  0.976 0.777  0.894 0.649  0.683 0.649  0.473 0.649  0.262 0.649  0.051 0.649  -0.011 0.500  -0.011 0.289  -0.088 0.155  -0.299 0.155  -0.504 0.150  -0.504 -0.061  -0.504 -0.272  -0.504 -0.482  -0.504 -0.693  -0.504 -0.904  -0.504 -1.115  -0.504 -1.326
1c#apa#apa09#app0950/x  -0.802 0.228  -0.962 0.387  -1.121 0.546  -1.281 0.706  -1.201 0.766  -0.975 0.766  -0.750 0.766  -0.525 0.762  -0.324 0.661  -0.122 0.560  0.005 0.414  -0.012 0.192  -0.113 -0.009  -0.214 -0.211  -0.344 -0.391  -0.504 -0.551  -0.663 -0.710  -0.831 -0.849  -1.056 -0.849  -1.281 -0.849  -1.224 -0.732  -1.064 -0.573  -0.905 -0.413  -0.723 -0.295  -0.502 -0.251  -0.281 -0.207  -0.060 -0.163  0.161 -0.118  0.382 -0.074  0.603 -0.030  0.824 0.014  1.045 0.059  1.266 0.103  1.487 0.147  1.708 0.191  1.854 0.245  1.652 0.346  1.451 0.447  1.237 0.497  1.015 0.474  0.801 0.403  0.588 0.332  0.374 0.261  0.220 0.119  0.120 -0.082  0.019 -0.284  0.005 -0.506  0.140 -0.648  0.342 -0.749  0.544 -0.849
2#lav#lav2#mp_0005/x  -1.240 0.649  -1.313 0.765  -1.179 0.923  -0.995 0.992  -0.790 0.994  -0.583 0.980  -0.376 0.970  -0.184 0.909  -0.019 0.785  0.038 0.586  0.017 0.390  -0.069 0.202  -0.169 0.020  -0.298 -0.138  -0.454 -0.275  -0.607 -0.414  -0.759 -0.555  -0.929 -0.666  -1.128 -0.710  -1.005 -0.628  -0.822 -0.531  -0.647 -0.420  -0.473 -0.308  -0.301 -0.192  -0.152 -0.049  -0.002 0.095  0.147 0.238  0.297 0.382  0.446 0.525  0.595 0.669  0.641 0.750  0.444 0.684  0.290 0.566  0.172 0.396  0.036 0.241  -0.062 0.058  -0.124 -0.134  -0.134 -0.341  -0.071 -0.520  0.076 -0.666  0.255 -0.762  0.453 -0.814  0.660 -0.824  0.866 -0.817  1.069 -0.777  1.272 -0.736  1.475 -0.692  1.677 -0.648  1.879 -0.601  2.080 -0.551
2#lav#lav2#mp_0005/x  -1.342 0.714  -1.436 0.821  -1.237 0.880  -1.033 0.922  -0.826 0.928  -0.618 0.919  -0.409 0.919  -0.204 0.890  -0.049 0.772  0.038 0.590  0.038 0.382  0.000 0.181  -0.085 -0.010  -0.187 -0.189  -0.346 -0.324  -0.518 -0.443  -0.696 -0.550  -0.881 -0.647  -1.080 -0.689  -1.266 -0.730  -1.087 -0.624  -0.909 -0.515  -0.733 -0.402  -0.558 -0.289  -0.383 -0.176  -0.207 -0.063  -0.032 0.050  0.143 0.163  0.319 0.276  0.494 0.389  0.669 0.502  0.844 0.615  1.020 0.728  0.944 0.726  0.765 0.640  0.661 0.459  0.574 0.270  0.445 0.106  0.350 -0.078  0.265 -0.268  0.183 -0.460  0.174 -0.664  0.313 -0.819  0.505 -0.875  0.712 -0.888  0.921 -0.876  1.129 -0.864  1.337 -0.849  1.540 -0.800  1.742 -0.751
2#lav#lav2#mp_0005/x  -1.624 0.423  -1.594 0.623  -1.462 0.799  -1.253 0.848  -1.036 0.884  -0.820 0.921  -0.600 0.914  -0.385 0.891  -0.202 0.769  -0.019 0.648  0.052 0.442  0.065 0.227  0.042 0.008  0.020 -0.210  -0.092 -0.388  -0.241 -0.549  -0.424 -0.669  -0.615 -0.778  -0.813 -0.869  -1.023 -0.935  -0.944 -0.863  -0.760 -0.743  -0.573 -0.627  -0.386 -0.511  -0.199 -0.396  -0.012 -0.281  0.175 -0.166  0.362 -0.050  0.550 0.065  0.737 0.180  0.924 0.295  1.111 0.410  1.298 0.525  1.292 0.711  1.196 0.871  0.983 0.818  0.773 0.755  0.593 0.630  0.453 0.462  0.312 0.293  0.188 0.112  0.098 -0.086  0.045 -0.299  0.047 -0.514  0.160 -0.703  0.306 -0.853  0.509 -0.937  0.712 -1.022  0.928 -1.040  1.148 -1.040
2#lav#lav2#mp_0005/x  -1.327 0.692  -1.330 0.728  -1.146 0.853  -0.949 0.943  -0.729 0.970  -0.507 0.985  -0.290 0.943  -0.116 0.835  -0.001 0.644  -0.021 0.427  -0.085 0.214  -0.177 0.016  -0.313 -0.160  -0.456 -0.330  -0.612 -0.487  -0.803 -0.600  -0.997 -0.708  -1.195 -0.808  -1.190 -0.749  -0.992 -0.651  -0.791 -0.556  -0.606 -0.434  -0.426 -0.303  -0.247 -0.172  -0.067 -0.041  0.112 0.089  0.292 0.220  0.472 0.351  0.651 0.482  0.831 0.613  0.955 0.766  0.788 0.768  0.595 0.667  0.425 0.523  0.263 0.371  0.099 0.222  -0.071 0.078  -0.131 -0.131  -0.178 -0.349  -0.076 -0.542  0.067 -0.696  0.279 -0.763  0.497 -0.777  0.718 -0.761  0.939 -0.735  1.155 -0.686  1.367 -0.620  1.571 -0.533  1.776 -0.447  1.981 -0.362
